start,end,mid,phase_rms_rad,n_samples,elongation_deg
2012-09-29 04:25:30,2012-09-29 04:45:30,2012-09-29 04:35:30,0.9799189961306567,120,41.19044177083334
2012-09-29 04:35:30,2012-09-29 04:55:30,2012-09-29 04:45:30,0.8905610728518389,120,41.189256354166666
2012-09-29 04:45:30,2012-09-29 05:05:30,2012-09-29 04:55:30,0.926811472749385,120,41.1880709375
2012-09-29 04:55:30,2012-09-29 05:15:30,2012-09-29 05:05:30,0.3045768581433321,120,41.186885520833336
2012-09-29 05:05:30,2012-09-29 05:25:30,2012-09-29 05:15:30,0.416408159607026,120,41.18570010416667
2012-09-29 05:15:30,2012-09-29 05:35:30,2012-09-29 05:25:30,0.5022026419557911,120,41.1845146875
2012-09-29 05:25:30,2012-09-29 05:45:30,2012-09-29 05:35:30,0.724593541292543,120,41.18332927083333
2012-09-29 05:35:30,2012-09-29 05:55:30,2012-09-29 05:45:30,0.8211082393881256,120,41.18214385416667
2012-09-29 05:45:30,2012-09-29 06:05:30,2012-09-29 05:55:30,0.5125673574920863,120,41.1809584375
2012-09-29 05:55:30,2012-09-29 06:15:30,2012-09-29 06:05:30,1.0084125502647903,120,41.17977302083334
2012-09-29 06:05:30,2012-09-29 06:25:30,2012-09-29 06:15:30,0.5417898439395626,120,41.178587604166665
2012-09-29 06:15:30,2012-09-29 06:35:30,2012-09-29 06:25:30,0.6360002566839256,120,41.1774021875
2012-09-29 06:25:30,2012-09-29 06:45:30,2012-09-29 06:35:30,0.4923727908552925,120,41.176216770833335
2012-09-29 06:35:30,2012-09-29 06:55:30,2012-09-29 06:45:30,0.7266041251079268,120,41.17503135416667
2012-09-29 06:45:30,2012-09-29 07:05:30,2012-09-29 06:55:30,1.0070845464221256,120,41.173845937500005
2012-09-29 06:55:30,2012-09-29 07:15:30,2012-09-29 07:05:30,0.9866091521310492,120,41.17266052083333
2012-09-29 07:05:30,2012-09-29 07:25:30,2012-09-29 07:15:30,0.6350170153127468,120,41.17147510416667
2012-09-29 07:15:30,2012-09-29 07:35:30,2012-09-29 07:25:30,0.4170961585845881,120,41.1702896875
2012-09-29 07:25:30,2012-09-29 07:45:30,2012-09-29 07:35:30,0.3059151327212953,120,41.16910427083334
2012-09-29 07:35:30,2012-09-29 07:55:30,2012-09-29 07:45:30,0.5587668335328325,120,41.167918854166665
2012-09-29 07:45:30,2012-09-29 08:05:30,2012-09-29 07:55:30,0.5289956061748224,120,41.1667334375
